head,tail,relation,description(head)
capec71,capec80,PeerOf,attack may provid unicod string system compon unicod awar use circumv filter caus classifi mechan fail proper understand request may allow attack slip malici data past content filter possibl caus applic rout request incorrect 
capec80,capec267,ChildOf,attack specif variat leverag altern encod bypass valid logic attack leverag possibl encod potenti harm input utf submit applic expect effect valid encod standard make input filter difficult utf bit uc unicod transform format variabl length charact encod unicod legal utf charact one four byte long howev earli version utf specif got entri wrong case permit overlong charact utf encod suppos use shortest possibl encod naiv decod may accept encod longer necessari accord rfc particular subtl form attack carri parser perform secur critic valid check utf encod form input interpret certain illeg octet sequenc charact 
capec267,capec80,ParentOf,adversari leverag possibl encod potenti harm input content use applic applic ineffect valid encod standard 
capec81,capec268,ChildOf,web log tamper attack involv attack inject delet otherwis tamper content web log typic purpos mask malici behavior addit write malici data log file may target job filter report agent process log asynchron attack pattern pattern attack similar log inject tamper forg except case attack target log web server applic 
capec268,capec81,ParentOf,attack inject manipul delet forg malici log entri log file attempt mislead audit log file cover track attack due either insuffici access control log file log mechan attack abl perform action 
capec83,capec250,ChildOf,attack craft special user control input consist xpath express inject xml databas bypass authent glean inform normal would abl xpath inject enabl attack talk direct xml databas thus bypass applic complet xpath inject result failur applic proper sanit input use part dynam xpath express use queri xml databas 
capec250,capec83,ParentOf,attack util craft xml user control input probe attack inject data xml databas use techniqu similar sql inject user control input allow unauthor view data bypass authent front end applic direct xml databas access possibl alter databas inform 
capec84,capec250,ChildOf,attack util xqueri probe attack server system similar manner sql inject allow attack exploit sql call rdbms xqueri inject use improp valid data pass xqueri command travers execut command xqueri routin access xqueri inject use enumer element victim environ inject command local host execut queri remot file data sourc 
capec250,capec84,ParentOf,attack util craft xml user control input probe attack inject data xml databas use techniqu similar sql inject user control input allow unauthor view data bypass authent front end applic direct xml databas access possibl alter databas inform 
capec85,capec541,ChildOf,attack util frequent client server roundtrip ajax convers scan system ajax open new vulner per se optim attack point view mani xss attack attack must get hole one success exploit vulner victim side first time client redirect attack mani chanc engag follow probe one first chanc wide use web applic major problem good enough wide use applic common first step attack footprint environ understand attack work sinc footprint reli enumer convers pattern rapid multipl request respons typic ajax applic enabl attack look mani vulner well known port network locat 
capec541,capec85,ParentOf,adversari engag fingerprint activ determin type version applic instal remot target 
capec86,capec591,ChildOf,adversari exploit web applic generat web content link html page base unvalid improp valid data submit actor xss http header attack target http header hidden user may valid web applic 
capec591,capec86,ParentOf,type attack form cross site script xss malici script reflect vulner web applic execut victim browser process start adversari deliv malici script victim convinc victim send script vulner web applic common method phish email adversari emb malici script url victim click process subsequ request vulner web applic incorrect consid malici script valid input use creat reposns sent back victim launch success reflect xss attack adversari look place user input use direct generat respons often involv element expect host script imag tag img addit event attibut onload onmouseov element often subject input valid output encod content filter check routin 
capec86,capec588,ChildOf,adversari exploit web applic generat web content link html page base unvalid improp valid data submit actor xss http header attack target http header hidden user may valid web applic 
capec588,capec86,ParentOf,type attack form cross site script xss malici script insert client side html pars web browser content serv vulner web applic includ script code use manipul document object model dom script code either proper valid input perform proper output encod thus creat opportun adversari inject malici script launch xss attack key distinct xss attack dom base attack xss attack malici script run vulner web page initi load dom base attack execut sometim page load anoth distinct dom base attack case malici script never sent vulner web server attack like guarante bypass server side filter attempt protect user 
capec87,capec115,ChildOf,attack employ forc brows access portion websit otherwis unreach direct url entri usual front control similar design pattern employ protect access portion web applic forc brows enabl attack access inform perform privileg oper otherwis reach section web applic improp protect 
capec115,capec87,ParentOf,attack gain access applic servic devic privileg author privileg user evad circumv authent mechan attack therefor abl access protect data without authent ever taken place refer attack gain access equival authent user without ever go authent procedur usual result attack use unexpect access procedur go proper checkpoint authent occur exampl web site might assum user click given link order get secur materi simpli authent everyon click link howev attack might abl reach secur web content explicit enter path content rather click authent link therebi avoid check entir attack pattern differ authent attack attack pattern avoid authent entir rather fake authent exploit flaw steal credenti legitim user 
capec88,capec248,ChildOf,type attack adversari inject oper system command exist applic function applic use untrust input build command string vulner adversari leverag os command inject applic elev privileg execut arbitrari command compromis under oper system 
capec248,capec88,ParentOf,adversari look execut command choos inject new item exist command thus modifi interpret away intend command context often standalon string interpret downstream compon caus specif respons type attack possibl untrust valu use build command string weak input valid command construct enabl attack lead success exploit 
capec89,capec151,ChildOf,pharm attack occur victim fool enter sensit data suppos trust locat onlin bank site trade platform attack imperson suppos trust site victim direct site rather origin intend one pharm requir script inject click malici link attack succeed 
capec151,capec89,ParentOf,ident spoof refer action assum e take ident entiti human non human use ident accomplish goal adversari may craft messag appear come differ principl use stolen spoof authent credenti altern adversari may intercept messag legitim sender attempt make look like messag come without chang content latter form attack use hijack credenti legitim user ident spoof attack need limit transmit messag resourc associ ident exampl file signatur target attack adversari attempt chang appar ident attack differ content spoof attack adversari wish chang appar ident messag instead wish chang messag say ident spoof attack adversari attempt chang ident content 
capec9,capec100,ChildOf,attack target command line util avail number shell attack leverag vulner found command line util escal privileg root 
capec100,capec9,ParentOf,buffer overflow attack target improp miss bound check buffer oper typic trigger input inject adversari consequ adversari abl write past boundari alloc buffer region memori caus program crash potenti redirect execut per adversari choic 
capec90,capec220,ChildOf,attack abus authent protocol suscept reflect attack order defeat allow attack illegitim access target system without possess requisit credenti reflect attack great concern authent protocol reli challeng handshak similar mechan attack imperson legitim user gain illegitim access system success mount reflect attack authent 
capec220,capec90,ParentOf,adversari take advantag weak protocol client server communic perform unexpect action communic protocol necessari transfer messag client server applic moreov differ protocol may use differ type interact exampl authent protocol might use establish ident server client separ messag protocol might use exchang data weak protocol use client server attack might take advantag perform various type attack exampl attack abl manipul authent protocol attack may abl spoof client server attack abl manipul messag protocol may abl read sensit inform modifi messag content attack often made easier fact mani client server support multipl protocol perform similar role exampl server might support sever differ authent protocol order support wide rang client includ legaci client older protocol may vulner allow attack manipul client server interact 
capec90,capec114,ChildOf,attack abus authent protocol suscept reflect attack order defeat allow attack illegitim access target system without possess requisit credenti reflect attack great concern authent protocol reli challeng handshak similar mechan attack imperson legitim user gain illegitim access system success mount reflect attack authent 
capec114,capec90,ParentOf,attack obtain unauthor access applic servic devic either knowledg inher weak authent mechan exploit flaw authent scheme implement attack authent mechan function care control sequenc event caus mechan grant access attack attack may exploit assumpt made target authent procedur assumpt regard trust relationship assumpt regard generat secret valu attack differ authent bypass attack authent abus allow attack certifi valid user illegitim mean authent bypass allow user access protect materi without ever certifi authent user attack reli prior session establish success authent user reli upon exploit session variabl resourc id trust credenti attack pattern 
capec92,capec128,ChildOf,attack forc integ variabl go rang integ variabl often use offset size memori alloc similar attack would typic control valu variabl tri get rang instanc integ question increment past maximum possibl valu may wrap becom small negat number therefor provid incorrect valu lead unexpect behavior worst attack execut arbitrari code 
capec128,capec92,ParentOf,attack take advantag structur integ variabl caus variabl assum valu expect applic exampl ad one largest posit integ sign integ variabl result negat number negat number may illeg applic applic may prevent attack provid direct applic may consid ad two posit number creat negat number structur integ storag format 
capec93,capec268,ChildOf,attack target log file target host attack inject manipul forg malici log entri log file allow mislead log audit cover trace attack perform malici action target host proper control log access result taint data result log file lead failur account non repudi incid forens capabl 
capec268,capec93,ParentOf,attack inject manipul delet forg malici log entri log file attempt mislead audit log file cover track attack due either insuffici access control log file log mechan attack abl perform action 
capec93,capec592,CanPrecede,attack target log file target host attack inject manipul forg malici log entri log file allow mislead log audit cover trace attack perform malici action target host proper control log access result taint data result log file lead failur account non repudi incid forens capabl 
capec592,capec93,CanFollow,type attack form cross site script xss malici script persisten store within data storag vulner web applic initi present adversari vulner web applic malici script incorrect consid valid input proper encod web applic victim convinc use web applic way creat respons includ malici script respons subsequ sent victim malici script execut victim browser launch success store xss attack adversari look place store input data use generat respons often involv element expect host script imag tag img addit event attibut onload onmouseov element often subject input valid output encod content filter check routin 
capec94,capec22,ChildOf,type attack target communic two compon typic client server attack place communic channel two compon whenev one compon attempt communic data flow authent challeng etc data first goe attack opportun observ alter pass compon never intercept interposit transpar leav two compromis compon unawar potenti corrupt leakag communic potenti man middl attack yield implicit lack trust communic identifi two compon 
capec22,capec94,ParentOf,attack type exploit vulner client server communic channel authent data integr leverag implicit trust server place client import server believ client attack execut type attack place communic channel client server communic direct server possibl server believ communic valid client numer variat type attack 
capec95,capec54,ChildOf,attack target wsdl interfac made avail web servic attack may scan wsdl interfac reveal sensit inform invoc pattern under technolog implement associ vulner type probe carri perform serious attack e g paramet tamper malici content inject command inject etc wsdl file provid detail inform servic port bind avail consum instanc attack submit special charact malici content web servic caus denial servic condit illeg access databas record addit attack may tri guess privat method use inform provid wsdl file 
capec54,capec95,ParentOf,adversari awar applic locat possibl author use applic probe applic structur evalu robust submit request examin respons often accomplish send variant expect queri hope modifi queri might return inform beyond expect set queri would provid 
capec96,capec603,ChildOf,applic typic make call function part librari extern applic librari may part oper system may third parti librari possibl applic handl situat proper access librari block depend error handl within applic block access librari may leav system insecur state could leverag attack 
capec603,capec96,ParentOf,adversari block deliveri import system resourc caus system fail stop work 
capec97,capec192,ChildOf,cryptanalysi process find weak cryptograph algorithm use weak deciph ciphertext without know secret key instanc deduct sometim weak cryptograph algorithm rather appli make cryptanalysi success attack may goal well total break find secret key global deduct find function equival algorithm encrypt decrypt requir knowledg secret key inform deduct gain inform plaintext ciphertext previous known distinguish algorithm attack abil distinguish output encrypt ciphertext random permut bit 
capec192,capec97,ParentOf,adversari engag activ deciph decod protocol inform network applic communic protocol use transmit inform interconnect node system packet switch data network type analysi involv analysi network protocol inher requir presenc actual physic network although certain techniqu protocol analysi benefit manipul live wire interact communic compon static dynam analysi techniqu appli execut well devic driver network interfac driver also use reveal function characterist communic protocol implement depend upon method use process may involv observ interact modifi actual communic occur host goal protocol analysi deriv data transmiss syntax well extract meaning content includ packet content delimit use protocol type analysi often perform close specif protocol proprietari protocol also use analyz public avail specif determin particular implement deviat publish specif 
capec97,capec20,CanPrecede,cryptanalysi process find weak cryptograph algorithm use weak deciph ciphertext without know secret key instanc deduct sometim weak cryptograph algorithm rather appli make cryptanalysi success attack may goal well total break find secret key global deduct find function equival algorithm encrypt decrypt requir knowledg secret key inform deduct gain inform plaintext ciphertext previous known distinguish algorithm attack abil distinguish output encrypt ciphertext random permut bit 
capec20,capec97,CanFollow,attack arm cipher text encrypt algorithm use perform exhaust brute forc search key space determin key decrypt cipher text obtain plaintext 
capec98,capec151,ChildOf,phish social engin techniqu attack masquerad legitim entiti victim might busi order prompt user reveal confidenti inform frequent authent credenti later use attack phish essenti form inform gather fish inform 
capec151,capec98,ParentOf,ident spoof refer action assum e take ident entiti human non human use ident accomplish goal adversari may craft messag appear come differ principl use stolen spoof authent credenti altern adversari may intercept messag legitim sender attempt make look like messag come without chang content latter form attack use hijack credenti legitim user ident spoof attack need limit transmit messag resourc associ ident exampl file signatur target attack adversari attempt chang appar ident attack differ content spoof attack adversari wish chang appar ident messag instead wish chang messag say ident spoof attack adversari attempt chang ident content 
capec99,capec82,ChildOf,applic often need transform data xml format use xml parser may possibl attack inject data may advers effect xml parser process advers effect may includ parser crash consum much resourc execut slowli execut code suppli attack allow usag unintend system function etc attack goal leverag parser failur advantag case may possibl jump data plane control plane via bad data pass xml parser r 
capec82,capec99,ParentOf,xml denial servic xdos appli technolog util xml data cours distribut system technolog includ java net databas xdos close associ web servic soap rest remot servic request post malici xml payload servic provid design exhaust servic provid memori cpu disk space main weak xdos servic provid general must inspect pars valid xml messag determin rout workflow secur consider exact inspect pars valid routin xdos target three primari attack vector xdos navig first target cpu recurs attack creat recurs payload send servic provid second target memori jumbo payload instanc servic provid use dom pars xml dom creat memori represent xml document document larg exampl north gb servic provid host may exhaust memori tri build memori object third via xml ping death attack servic provid numer small file clog system attack exploit loos coupl natur web servic servic provid littl control servic request messag servic request send 
cwe1004,cwe732,ChildOf,softwar use cooki store sensit inform cooki mark httpon flag 
cwe732,cwe1004,ParentOf,softwar specifi permiss secur critic resourc way allow resourc read modifi unintend actor 
cwe1007,cwe451,ChildOf,softwar display inform identifi user display mechan make easi user distinguish visual similar ident glyph homoglyph may caus user misinterpret glyph perform unintend insecur action 
cwe451,cwe1007,ParentOf,user interfac ui proper repres critic inform user allow inform sourc obscur spoof often compon phish attack 
cwe102,cwe694,ChildOf,applic use multipl valid form name might caus strut valid valid form programm expect 
cwe694,cwe102,ParentOf,softwar use multipl resourc identifi context uniqu identifi requir 
cwe102,cwe1173,ChildOf,applic use multipl valid form name might caus strut valid valid form programm expect 
cwe1173,cwe102,ParentOf,applic use incorrect use input valid framework provid sourc languag independ librari
cwe102,cwe20,ChildOf,applic use multipl valid form name might caus strut valid valid form programm expect 
cwe20,cwe102,ParentOf,product valid incorrect valid input affect control flow data flow program 
cwe1021,cwe441,ChildOf,web applic restrict incorrect restrict frame object ui layer belong anoth applic domain lead user confus interfac user interact 
cwe441,cwe1021,ParentOf,softwar receiv request messag direct upstream compon softwar suffici preserv origin sourc request forward request extern actor outsid softwar control sphere caus softwar appear sourc request lead act proxi intermediari upstream compon extern actor 
cwe1021,cwe451,ChildOf,web applic restrict incorrect restrict frame object ui layer belong anoth applic domain lead user confus interfac user interact 
cwe451,cwe1021,ParentOf,user interfac ui proper repres critic inform user allow inform sourc obscur spoof often compon phish attack 
cwe1022,cwe266,ChildOf,web applic produc link untrust extern site outsid sphere control proper prevent extern site modifi secur critic properti window open object locat properti 
cwe266,cwe1022,ParentOf,product incorrect assign privileg particular actor creat unintend sphere control actor 
cwe1023,cwe697,ChildOf,softwar perform comparison entiti must consid multipl factor characterist entiti comparison includ one factor lead result weak e g oper wrong object 
cwe697,cwe1023,ParentOf,softwar compar two entiti secur relev context comparison incorrect may lead result weak 
cwe1023,cwe259,senmatic,softwar perform comparison entiti must consid multipl factor characterist entiti comparison includ one factor lead result weak e g oper wrong object 
cwe1023,cwe309,senmatic,softwar perform comparison entiti must consid multipl factor characterist entiti comparison includ one factor lead result weak e g oper wrong object 
cwe1023,cwe287,senmatic,softwar perform comparison entiti must consid multipl factor characterist entiti comparison includ one factor lead result weak e g oper wrong object 
cwe1024,cwe697,ChildOf,softwar perform comparison two entiti entiti differ incompat type cannot guarante provid correct result direct compar 
cwe697,cwe1024,ParentOf,softwar compar two entiti secur relev context comparison incorrect may lead result weak 
cwe1025,cwe697,ChildOf,softwar perform comparison two entiti comparison examin wrong factor characterist entiti lead incorrect result result weak 
cwe697,cwe1025,ParentOf,softwar compar two entiti secur relev context comparison incorrect may lead result weak 
cwe103,cwe573,ChildOf,applic valid form either defin valid method defin valid method call super valid 
cwe573,cwe103,ParentOf,softwar follow incorrect follow specif requir implement languag environ framework protocol platform 
cwe103,cwe20,ChildOf,applic valid form either defin valid method defin valid method call super valid 
cwe20,cwe103,ParentOf,product valid incorrect valid input affect control flow data flow program 
cwe1037,cwe1038,ChildOf,develop build secur critic protect mechan softwar processor optim execut program mechan remov modifi 
cwe1038,cwe1037,ParentOf,product use mechan automat optim code e g improv characterist perform optim unintend side effect might violat intend secur assumpt 
cwe1038,cwe435,ChildOf,product use mechan automat optim code e g improv characterist perform optim unintend side effect might violat intend secur assumpt 
cwe435,cwe1038,ParentOf,interact error occur two entiti correct behavior run independ integr compon larger system process introduc incorrect behavior may caus result weak 
cwe1038,cwe758,ChildOf,product use mechan automat optim code e g improv characterist perform optim unintend side effect might violat intend secur assumpt 
cwe758,cwe1038,ParentOf,softwar use api function data structur entiti way reli properti alway guarante hold entiti 
cwe1039,cwe693,ChildOf,product use autom mechan machin learn recogn complex data input e g imag audio particular concept categori proper detect handl input modifi construct way caus mechan detect differ incorrect concept 
cwe693,cwe1039,ParentOf,product use incorrect use protect mechan provid suffici defens direct attack product 
cwe1039,cwe704,senmatic,product use autom mechan machin learn recogn complex data input e g imag audio particular concept categori proper detect handl input modifi construct way caus mechan detect differ incorrect concept 
cwe1039,cwe697,ChildOf,product use autom mechan machin learn recogn complex data input e g imag audio particular concept categori proper detect handl input modifi construct way caus mechan detect differ incorrect concept 
cwe697,cwe1039,ParentOf,softwar compar two entiti secur relev context comparison incorrect may lead result weak 
cwe104,cwe573,ChildOf,form bean extend actionform subclass valid framework expos applic weak relat insuffici input valid 
cwe573,cwe104,ParentOf,softwar follow incorrect follow specif requir implement languag environ framework protocol platform 
cwe104,cwe20,ChildOf,form bean extend actionform subclass valid framework expos applic weak relat insuffici input valid 
cwe20,cwe104,ParentOf,product valid incorrect valid input affect control flow data flow program 
cwe1041,cwe710,ChildOf,softwar multipl function method procedur macro etc contain code
cwe710,cwe1041,ParentOf,softwar follow certain code rule develop lead result weak increas sever associ vulner 
cwe1042,cwe1176,ChildOf,code contain member element declar static final parent class element singleton class class element use associ creat action
cwe1176,cwe1042,ParentOf,program perform cpu comput use algorithm effici could need develop e comput optim
cwe1043,cwe1093,ChildOf,softwar use data element excess larg number sub element non primit data type structur aggreg object
cwe1093,cwe1043,ParentOf,softwar use unnecessarili complex intern represent data structur interrelationship structur
cwe1044,cwe710,ChildOf,softwar architectur contain mani horizont layer
cwe710,cwe1044,ParentOf,softwar follow certain code rule develop lead result weak increas sever associ vulner 
cwe1045,cwe1076,ChildOf,parent class virtual destructor method parent child class virtual destructor
cwe1076,cwe1045,ParentOf,product architectur sourc code design document artifact follow requir convent
cwe1045,cwe401,senmatic,parent class virtual destructor method parent child class virtual destructor
cwe1046,cwe1176,ChildOf,softwar creat immut text string use string concaten oper
cwe1176,cwe1046,ParentOf,program perform cpu comput use algorithm effici could need develop e comput optim
cwe1047,cwe1120,ChildOf,softwar contain modul one modul refer cycl back e circular depend
cwe1120,cwe1047,ParentOf,code complex calcul use well defin quantit measur
cwe1048,cwe710,ChildOf,code contain callabl control element contain excess larg number refer applic object extern context callabl e fan valu excess larg
cwe710,cwe1048,ParentOf,softwar follow certain code rule develop lead result weak increas sever associ vulner 
cwe1049,cwe1176,ChildOf,softwar perform data queri larg number join sub queri larg data tabl
cwe1176,cwe1049,ParentOf,program perform cpu comput use algorithm effici could need develop e comput optim
cwe105,cwe1173,ChildOf,applic form field valid correspond valid form introduc weak relat insuffici input valid 
cwe1173,cwe105,ParentOf,applic use incorrect use input valid framework provid sourc languag independ librari
cwe105,cwe20,ChildOf,applic form field valid correspond valid form introduc weak relat insuffici input valid 
cwe20,cwe105,ParentOf,product valid incorrect valid input affect control flow data flow program 
cwe1050,cwe405,ChildOf,softwar loop bodi loop condit contain control element direct indirect consum platform resourc e g messag session lock file descriptor
cwe405,cwe1050,ParentOf,softwar appropri monitor control resourc consumpt lead advers system perform 
cwe1051,cwe665,ChildOf,softwar initi data use hard code valu act network resourc identifi
cwe665,cwe1051,ParentOf,softwar initi incorrect initi resourc might leav resourc unexpect state access use 
cwe1052,cwe665,ChildOf,softwar initi data element use hard code liter simpl integ static constant element
cwe665,cwe1052,ParentOf,softwar initi incorrect initi resourc might leav resourc unexpect state access use 
cwe1052,cwe1078,ChildOf,softwar initi data element use hard code liter simpl integ static constant element
cwe1078,cwe1052,ParentOf,sourc code follow desir style format indent white space comment etc
cwe1053,cwe1059,ChildOf,product document repres design
cwe1059,cwe1053,ParentOf,document whether paper electron form contain descript relev element product usag structur interfac design implement configur oper etc
cwe1054,cwe1061,ChildOf,code one architectur layer invok code resid deeper layer adjac layer e invoc skip least one layer invok code part vertic util layer referenc horizont layer
cwe1061,cwe1054,ParentOf,softwar suffici hide intern represent implement detail data method might allow extern compon modul modifi data unexpect invok unexpect function introduc depend programm intend
cwe1055,cwe1093,ChildOf,softwar contain class inherit one concret class
cwe1093,cwe1055,ParentOf,softwar use unnecessarili complex intern represent data structur interrelationship structur
cwe1056,cwe1120,ChildOf,name callabl method control element signatur support variabl variad number paramet argument
cwe1120,cwe1056,ParentOf,code complex calcul use well defin quantit measur
cwe1057,cwe1061,ChildOf,softwar use dedic central data manag compon requir design contain code perform data access oper use data manag
cwe1061,cwe1057,ParentOf,softwar suffici hide intern represent implement detail data method might allow extern compon modul modifi data unexpect invok unexpect function introduc depend programm intend
cwe1058,cwe662,ChildOf,code contain function method oper multi thread environ own unsaf non final static storabl member data element
cwe662,cwe1058,ParentOf,softwar attempt use share resourc exclus manner prevent incorrect prevent use resourc anoth thread process 
cwe1059,cwe710,ChildOf,document whether paper electron form contain descript relev element product usag structur interfac design implement configur oper etc
cwe710,cwe1059,ParentOf,softwar follow certain code rule develop lead result weak increas sever associ vulner 
cwe106,cwe1173,ChildOf,applic use input valid framework strut valid greater risk introduc weak relat insuffici input valid 
cwe1173,cwe106,ParentOf,applic use incorrect use input valid framework provid sourc languag independ librari
cwe106,cwe20,ChildOf,applic use input valid framework strut valid greater risk introduc weak relat insuffici input valid 
cwe20,cwe106,ParentOf,product valid incorrect valid input affect control flow data flow program 
cwe1060,cwe1120,ChildOf,softwar perform mani data queri without use effici data process function store procedur
cwe1120,cwe1060,ParentOf,code complex calcul use well defin quantit measur
cwe1061,cwe710,ChildOf,softwar suffici hide intern represent implement detail data method might allow extern compon modul modifi data unexpect invok unexpect function introduc depend programm intend
cwe710,cwe1061,ParentOf,softwar follow certain code rule develop lead result weak increas sever associ vulner 
cwe1062,cwe1061,ChildOf,code parent class contain refer child class method member
cwe1061,cwe1062,ParentOf,softwar suffici hide intern represent implement detail data method might allow extern compon modul modifi data unexpect invok unexpect function introduc depend programm intend
cwe1063,cwe1176,ChildOf,static code block creat instanc class
cwe1176,cwe1063,ParentOf,program perform cpu comput use algorithm effici could need develop e comput optim
cwe1064,cwe1120,ChildOf,softwar contain function subroutin method whose signatur unnecessarili larg number paramet argument
cwe1120,cwe1064,ParentOf,code complex calcul use well defin quantit measur
cwe1065,cwe710,ChildOf,applic use deploy compon applic server also use low level function method manag resourc instead api provid applic server
cwe710,cwe1065,ParentOf,softwar follow certain code rule develop lead result weak increas sever associ vulner 
cwe1066,cwe710,ChildOf,softwar contain serializ data element associ serial method
cwe710,cwe1066,ParentOf,softwar follow certain code rule develop lead result weak increas sever associ vulner 
cwe1067,cwe1176,ChildOf,softwar contain data queri sql tabl view configur way util index may caus sequenti search perform
cwe1176,cwe1067,ParentOf,program perform cpu comput use algorithm effici could need develop e comput optim
cwe1068,cwe710,ChildOf,implement product consist design describ within relev document
cwe710,cwe1068,ParentOf,softwar follow certain code rule develop lead result weak increas sever associ vulner 
cwe1069,cwe1071,ChildOf,invok code block contain except handl block contain code e empti
cwe1071,cwe1069,ParentOf,sourc code contain block contain code e block empti
cwe107,cwe710,ChildOf,unus valid form indic valid logic date 
cwe710,cwe107,ParentOf,softwar follow certain code rule develop lead result weak increas sever associ vulner 
cwe107,cwe20,ChildOf,unus valid form indic valid logic date 
cwe20,cwe107,ParentOf,product valid incorrect valid input affect control flow data flow program 
cwe1070,cwe710,ChildOf,softwar contain serializ storabl data element field member data element contain member element serializ
cwe710,cwe1070,ParentOf,softwar follow certain code rule develop lead result weak increas sever associ vulner 
cwe1071,cwe1164,ChildOf,sourc code contain block contain code e block empti
cwe1164,cwe1071,ParentOf,program contain code essenti execut e make state chang side effect alter data control flow remov code would impact function correct
cwe1072,cwe405,ChildOf,softwar access data resourc databas without use connect pool capabl
cwe405,cwe1072,ParentOf,softwar appropri monitor control resourc consumpt lead advers system perform 
cwe1073,cwe405,ChildOf,softwar contain client function method contain larg number data access queri sent data manag e use effici databas capabl
cwe405,cwe1073,ParentOf,softwar appropri monitor control resourc consumpt lead advers system perform 
cwe1074,cwe1093,ChildOf,class inherit level high e larg number parent class
cwe1093,cwe1074,ParentOf,softwar use unnecessarili complex intern represent data structur interrelationship structur
cwe1075,cwe1120,ChildOf,softwar perform uncondit control transfer goto code outsid branch structur switch block
cwe1120,cwe1075,ParentOf,code complex calcul use well defin quantit measur
cwe1076,cwe710,ChildOf,product architectur sourc code design document artifact follow requir convent
cwe710,cwe1076,ParentOf,softwar follow certain code rule develop lead result weak increas sever associ vulner 
cwe1077,cwe697,ChildOf,code perform comparison equal test two float float point valu use comparison oper account possibl loss precis
cwe697,cwe1077,ParentOf,softwar compar two entiti secur relev context comparison incorrect may lead result weak 
cwe1078,cwe1076,ChildOf,sourc code follow desir style format indent white space comment etc
cwe1076,cwe1078,ParentOf,product architectur sourc code design document artifact follow requir convent
cwe1079,cwe1076,ChildOf,parent class contain one child class parent class virtual destructor method
cwe1076,cwe1079,ParentOf,product architectur sourc code design document artifact follow requir convent
cwe108,cwe1173,ChildOf,everi action form must correspond valid form 
cwe1173,cwe108,ParentOf,applic use incorrect use input valid framework provid sourc languag independ librari
cwe108,cwe20,ChildOf,everi action form must correspond valid form 
cwe20,cwe108,ParentOf,product valid incorrect valid input affect control flow data flow program 
cwe1080,cwe1120,ChildOf,sourc code file mani line code
cwe1120,cwe1080,ParentOf,code complex calcul use well defin quantit measur
cwe1082,cwe1076,ChildOf,code contain class instanc call method function delet destroy
cwe1076,cwe1082,ParentOf,product architectur sourc code design document artifact follow requir convent
cwe1083,cwe1061,ChildOf,softwar intend manag data access particular data manag compon relat non sql databas contain code perform data access oper without use compon
cwe1061,cwe1083,ParentOf,softwar suffici hide intern represent implement detail data method might allow extern compon modul modifi data unexpect invok unexpect function introduc depend programm intend
cwe1084,cwe405,ChildOf,function method contain mani oper util data manag file resourc
cwe405,cwe1084,ParentOf,softwar appropri monitor control resourc consumpt lead advers system perform 
cwe1085,cwe1078,ChildOf,function method procedur etc contain excess amount code comment within bodi
cwe1078,cwe1085,ParentOf,sourc code follow desir style format indent white space comment etc
cwe1086,cwe1093,ChildOf,class contain unnecessarili larg number children
cwe1093,cwe1086,ParentOf,softwar use unnecessarili complex intern represent data structur interrelationship structur
cwe1087,cwe1076,ChildOf,class contain virtual method method associ virtual destructor
cwe1076,cwe1087,ParentOf,product architectur sourc code design document artifact follow requir convent
cwe1088,cwe821,ChildOf,code synchron call remot resourc timeout call timeout set infinit
cwe821,cwe1088,ParentOf,softwar util share resourc concurr manner correct synchron access resourc 
cwe1089,cwe405,ChildOf,softwar use larg data tabl contain excess larg number indic
cwe405,cwe1089,ParentOf,softwar appropri monitor control resourc consumpt lead advers system perform 
cwe109,cwe1173,ChildOf,automat filter via strut bean turn disabl strut valid custom valid logic expos applic weak relat insuffici input valid 
cwe1173,cwe109,ParentOf,applic use incorrect use input valid framework provid sourc languag independ librari
cwe109,cwe20,ChildOf,automat filter via strut bean turn disabl strut valid custom valid logic expos applic weak relat insuffici input valid 
cwe20,cwe109,ParentOf,product valid incorrect valid input affect control flow data flow program 
cwe1090,cwe1061,ChildOf,method class perform oper direct access member element anoth class
cwe1061,cwe1090,ParentOf,softwar suffici hide intern represent implement detail data method might allow extern compon modul modifi data unexpect invok unexpect function introduc depend programm intend
cwe1091,cwe772,ChildOf,softwar contain method access object later invok element associ final destructor method
cwe772,cwe1091,ParentOf,softwar releas resourc effect lifetim end e resourc longer need 
cwe1091,cwe1076,ChildOf,softwar contain method access object later invok element associ final destructor method
cwe1076,cwe1091,ParentOf,product architectur sourc code design document artifact follow requir convent
cwe1092,cwe710,ChildOf,softwar use control element across multipl architectur layer
cwe710,cwe1092,ParentOf,softwar follow certain code rule develop lead result weak increas sever associ vulner 
cwe1093,cwe710,ChildOf,softwar use unnecessarili complex intern represent data structur interrelationship structur
cwe710,cwe1093,ParentOf,softwar follow certain code rule develop lead result weak increas sever associ vulner 
cwe1094,cwe405,ChildOf,softwar contain index rang scan larg data tabl scan cover larg number row
cwe405,cwe1094,ParentOf,softwar appropri monitor control resourc consumpt lead advers system perform 
cwe1095,cwe1120,ChildOf,softwar use loop control flow condit base valu updat within bodi loop
cwe1120,cwe1095,ParentOf,code complex calcul use well defin quantit measur
cwe1096,cwe820,ChildOf,softwar implement singleton design pattern use appropri lock synchron mechan ensur singleton class instanti
cwe820,cwe1096,ParentOf,softwar util share resourc concurr manner attempt synchron access resourc 
cwe1096,cwe833,senmatic,softwar implement singleton design pattern use appropri lock synchron mechan ensur singleton class instanti
